ID,LATITUDE,LONGITUDE,LOG1,LOG2,TIPO_ACID,QUEDA_ARR,DATA_HORA,DIA_SEM,FERIDOS,FERIDOS_GR,MORTES,MORTE_POST,FATAIS,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,OUTRO,TEMPO,NOITE_DIA,REGIAO,DIA,MES,ANO,FX_HORA,UPS,
15120,-30.0638439439,-51.1694252436,R MARTINS DE LIMA,R SALDANHA DA GAMA,ABALROAMENTO,0,2009-09-15T10:30:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,BOM,DIA,LESTE,15,9,2009,10,1,
15121,-30.0837565193,-51.2470947626,AV DIARIO DE NOTICIAS,,CHOQUE,0,2009-09-15T11:00:00,TERCA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,15,9,2009,11,5,
15122,-30.029514814,-51.219408006,R SARMENTO LEITE,AV INDEPENDENCIA,ABALROAMENTO,0,2009-09-15T11:20:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,CENTRO,15,9,2009,11,1,
15123,-30.0363286985,-51.1756256152,AV CARLOS GOMES,,ABALROAMENTO,0,2009-09-15T11:35:00,TERCA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,LESTE,15,9,2009,11,5,
15124,-29.9946534014,-51.1298649512,AV ASSIS BRASIL,,COLISAO,0,2009-09-15T11:45:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,15,9,2009,11,1,
15125,-30.0255527883,-51.2198069091,R COMENDADOR MANOEL PEREIRA,R DA CONCEICAO,COLISAO,0,2009-09-15T11:50:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,CENTRO,15,9,2009,11,1,
15126,-30.0610977345,-51.2308109674,R BARAO DO CERRO LARGO,AV PADRE CACIQUE,CHOQUE,0,2009-09-15T12:00:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,15,9,2009,12,1,
15127,-30.1200634657,-51.2070021799,R CATARINO ANDREATTA,,COLISAO,0,2009-09-15T12:05:00,TERCA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,15,9,2009,12,5,
15128,-30.0378000234,-51.2105911055,AV VENANCIO AIRES,,COLISAO,0,2009-09-15T12:15:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,BOM,DIA,CENTRO,15,9,2009,12,1,
15129,-30.0771493971,-51.2005629897,AV PROF OSCAR PEREIRA,,COLISAO,0,2009-09-15T12:18:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,15,9,2009,12,1,
15130,-30.0510860388,-51.2128894775,PCA PRINCESA ISABEL,AV DA AZENHA,ABALROAMENTO,0,2009-09-15T12:30:00,TERCA-FEIRA,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,15,9,2009,12,1,
15131,-30.040012661,-51.1270820817,AV PROTASIO ALVES,,COLISAO,0,2009-09-15T12:30:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,15,9,2009,12,1,
15132,-30.0312165658,-51.1812475564,R REGENTE,R CARVALHO MONTEIRO,ABALROAMENTO,0,2009-09-15T13:00:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,15,9,2009,13,1,
15133,-30.0364003309,-51.1944998613,AV CEL LUCAS DE OLIVEIRA,,CHOQUE,0,2009-09-15T13:04:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,BOM,DIA,LESTE,15,9,2009,13,1,
15134,-29.992708103,-51.1960447565,AV A J RENNER,,ABALROAMENTO,0,2009-09-15T13:25:00,TERCA-FEIRA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,BOM,DIA,NORTE,15,9,2009,13,1,
15135,-30.0805570467,-51.2193183204,R ORFANOTROFIO,,ABALROAMENTO,0,2009-09-15T13:45:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,15,9,2009,13,1,
15136,-30.0268501391,-51.1508130502,AV DO FORTE,,ABALROAMENTO,0,2009-09-15T13:45:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,BOM,DIA,NORTE,15,9,2009,13,1,
